category,includes,count
"nocabs","nocabs",498
"nocabs","nocars",3
"nocabs","jams",40
"nocabs","accidents",0
"nocabs","peaks",14
"nocars","nocabs",3
"nocars","nocars",654
"nocars","jams",55
"nocars","accidents",2
"nocars","peaks",12
"jams","nocabs",40
"jams","nocars",55
"jams","jams",10232
"jams","accidents",83
"jams","peaks",371
"accidents","nocabs",0
"accidents","nocars",1
"accidents","jams",83
"accidents","accidents",911
"accidents","peaks",7
"peaks","nocabs",14
"peaks","nocars",12
"peaks","jams",398
"peaks","accidents",7
"peaks","peaks",605
